StockCode,Purchase_Frequency,Avg_Order_Quantity
10002,40,16.79591836734694
10080,19,13.857142857142858
10120,25,6.433333333333334
10123C,3,1.6666666666666667
10124A,5,3.2
10124G,4,4.25
10125,49,19.15625
10133,101,19.225806451612904
10135,92,16.016528925619834
11001,44,19.5625
15030,11,11.0
15034,70,70.53846153846153
15036,194,67.31076923076922
15039,58,21.95774647887324
15044A,53,5.417721518987341
15044B,36,6.395833333333333
15044C,43,4.459016393442623
15044D,53,8.513513513513514
15056BL,142,9.549828178694158
15056N,184,10.015706806282722
15056P,87,5.613138686131387
15058A,40,2.9019607843137254
15058B,32,2.8048780487804876
15058C,26,6.433333333333334
15060B,68,4.326315789473684
16008,54,41.31428571428572
16010,3,10.0
16011,38,37.723404255319146
16012,33,33.62162162162162
16014,34,246.8148148148148
16015,19,27.583333333333332
16016,41,19.584615384615386
16033,4,210.0
16045,61,128.9855072463768
16046,13,4.1875
16048,41,29.3265306122449
16049,5,100.8
16052,5,77.83333333333333
16054,29,35.333333333333336
16151A,3,16.333333333333332
16156L,17,26.38888888888889
16156S,135,34.73053892215569
16161G,22,31.818181818181817
16161P,189,29.02008032128514
16161U,105,30.41044776119403
16162L,5,2.8333333333333335
16162M,6,3.7142857142857144
16168M,19,16.45
16169E,143,30.42
16169K,8,25.0
16169M,24,25.384615384615383
16202E,3,5.0
16207A,4,2.6
16207B,3,1.3333333333333333
16216,38,80.8780487804878
16218,43,75.2
16219,41,62.02127659574468
16225,57,9.896103896103897
16235,68,32.901234567901234
16236,59,17.753424657534246
16237,109,27.207100591715978
16238,61,15.7625
16248B,7,1.8571428571428572
16254,7,3.4444444444444446
16258A,29,11.710526315789474
16259,28,109.03225806451613
17003,136,109.87081339712918
17011F,6,13.333333333333334
17012A,21,10.8
17012B,33,12.63888888888889
17012C,37,8.25
17012D,35,8.41304347826087
17012E,3,14.75
17012F,33,8.69047619047619
17013D,10,48.36363636363637
17014A,7,22.0
17021,30,42.578947368421055
17038,18,79.0
17084A,7,28.571428571428573
17084J,8,28.125
17084N,25,32.03125
17084P,12,26.846153846153847
17084R,16,149.33333333333334
17090A,9,10.9
17090D,6,2.230769230769231
17091A,19,6.615384615384615
17091J,66,22.703296703296704
17096,12,193.53846153846155
17107D,42,3.6382978723404253
17109D,4,12.2
17129F,11,22.473684210526315
17136A,16,20.2
17164B,9,2.9
17165D,6,3.857142857142857
17174,3,3.0
18007,15,325.3333333333333
18094C,13,8.933333333333334
18097A,4,1.25
18097C,43,12.017857142857142
18098C,24,5.078947368421052
20615,28,6.6
20616,19,5.36
20617,20,2.5384615384615383
20618,20,2.4285714285714284
20619,16,6.454545454545454
20622,24,4.9393939393939394
20652,26,4.166666666666667
20653,5,5.5
20654,21,4.375
20655,20,2.6176470588235294
20657,20,2.772727272727273
20658,44,5.290322580645161
20659,18,2.96875
20661,3,1.8
20662,4,2.2
20663,3,1.0
20664,3,2.0
20665,58,4.657534246575342
20666,4,1.0
20668,111,67.62765957446808
20669,36,4.148936170212766
20670,5,1.3333333333333333
20674,101,9.032894736842104
20675,149,12.075221238938052
20676,185,14.351973684210526
20677,133,14.102678571428571
20679,141,6.014760147601476
20681,29,3.676470588235294
20682,138,6.229508196721311
20684,30,2.3636363636363638
20685,329,6.737478411053541
20686,51,3.923076923076923
20694,9,3.272727272727273
20695,4,1.25
20696,10,3.2
20697,8,1.7272727272727273
20698,7,2.0
20699,11,2.6363636363636362
20700,4,2.5
20701,3,2.0
20702,31,3.1219512195121952
20704,38,5.410256410256411
20705,27,5.107142857142857
20707,20,5.0
20711,152,16.995951417004047
20712,248,16.472837022132797
20713,207,24.859857482185273
20716,31,8.971428571428572
20717,150,8.627118644067796
20718,236,10.933333333333334
20719,238,16.917582417582416
20723,230,13.694
20724,335,17.055925432756325
20725,532,13.589217919514047
20726,372,10.82541567695962
20727,458,10.218099547511311
20728,479,10.940343781597573
20731,8,9.25
20733,30,18.73469387755102
20735,11,5.266666666666667
20748,26,1.7666666666666666
20749,239,4.671195652173913
20750,235,4.664850136239782
20751,127,4.939086294416244
20752,91,3.1367521367521367
20754,153,5.580246913580247
20755,44,5.7254901960784315
20756,20,2.8636363636363638
20757,30,4.96969696969697
20758,35,3.659090909090909
20759,17,3.2
20760,18,3.1363636363636362
20761,46,2.0
20762,42,1.9803921568627452
20763,24,2.84
20764,45,2.064516129032258
20765,45,1.8113207547169812
20766,41,2.26
20767,50,3.557377049180328
20768,31,3.5405405405405403
20769,21,2.5384615384615383
20770,24,3.7241379310344827
20771,21,2.5357142857142856
20772,40,4.739130434782608
20773,21,2.3333333333333335
20774,21,2.260869565217391
20775,19,2.909090909090909
20777,32,2.638888888888889
20778,8,1.875
20780,13,1.9473684210526316
20781,19,1.391304347826087
20782,12,2.2222222222222223
20785,4,2.8
20793,4,2.0
20794,15,5.3125
20795,6,5.5
20796,8,7.625
20798,5,7.2
20801,47,15.418181818181818
20802,40,14.727272727272727
20803,26,28.65625
20819,14,3.0
20821,5,3.2
20823,6,20.5
20826,7,34.5
20828,116,5.440860215053763
20829,90,7.485207100591716
20830,19,3.75
20831,19,7.041666666666667
20832,47,18.140350877192983
20835,7,9.428571428571429
20836,14,10.0
20837,14,9.4
20838,30,10.0
20839,44,9.224489795918368
20840,35,10.545454545454545
20845,7,1.7272727272727273
20846,50,10.109375
20847,12,3.2857142857142856
20848,7,2.625
20851,5,1.2857142857142858
20854,16,9.222222222222221
20856,26,5.185185185185185
20857,7,4.0
20866,34,10.763157894736842
20867,23,7.48
20868,29,12.290322580645162
20869,17,7.722222222222222
20878,7,3.125
20886,56,5.734177215189874
20893,16,12.95
20894,9,2.7777777777777777
20897,8,10.625
20898,4,5.0
20902,6,5.5
20903,10,2.0
20914,356,7.869897959183674
20931,35,7.108108108108108
20932,22,8.590909090909092
20933,9,2.5555555555555554
20934,20,2.7
20935,4,1.5
20936,21,3.5384615384615383
20941,13,3.388888888888889
20956,51,11.967213114754099
20961,82,7.915384615384616
20963,83,8.746031746031745
20966,28,14.365853658536585
20967,63,3.3815789473684212
20969,157,7.243243243243243
20970,141,4.6594827586206895
20971,277,21.8482905982906
20972,312,12.965454545454545
20973,191,13.769759450171822
20974,195,22.224422442244226
20975,231,20.317460317460316
20977,111,11.013793103448275
20978,133,8.816216216216215
20979,164,15.055555555555555
20980,10,2.4545454545454546
20981,157,8.772511848341232
20982,158,9.094594594594595
20983,185,10.608
20984,135,21.642045454545453
20985,65,10.59375
20986,40,7.333333333333333
20992,162,16.724137931034484
20996,124,16.26063829787234
20997,4,3.0
20998,27,4.25
21000,16,2.7058823529411766
21001,12,1.9230769230769231
21002,5,2.6
21003,6,2.1666666666666665
21012,66,6.831325301204819
21014,64,17.614285714285714
21015,59,18.397058823529413
21018,4,4.4
21025,14,6.25
21026,20,5.72
21027,16,5.315789473684211
21028,15,5.523809523809524
21030,19,5.260869565217392
21031,9,3.6363636363636362
21032,13,4.0625
21033,75,8.458715596330276
21034,480,1.9884453781512605
